2.000000e-02	-nan	-nan
4.000000e-02	0.000000e+00	0.000000e+00
8.000000e-02	0.000000e+00	0.000000e+00
1.200000e-01	0.000000e+00	0.000000e+00
1.600000e-01	0.000000e+00	0.000000e+00
2.000000e-01	0.000000e+00	0.000000e+00
2.400000e-01	0.000000e+00	0.000000e+00
2.800000e-01	0.000000e+00	0.000000e+00
3.200000e-01	0.000000e+00	0.000000e+00
3.600000e-01	0.000000e+00	0.000000e+00
4.000000e-01	0.000000e+00	0.000000e+00
4.400000e-01	1.044614e-06	5.947000e-07
4.800000e-01	4.523479e-06	1.375584e-06
5.200000e-01	1.321221e-05	2.538827e-06
5.600000e-01	2.922695e-05	4.538616e-06
6.000000e-01	8.277555e-05	7.191166e-06
6.400000e-01	1.561667e-04	1.147976e-05
6.800000e-01	2.605175e-04	1.669123e-05
7.200000e-01	5.007725e-04	2.183236e-05
7.600000e-01	7.580937e-04	2.898646e-05
8.000000e-01	1.207252e-03	4.011666e-05
8.400000e-01	1.738315e-03	5.567229e-05
8.800000e-01	2.485290e-03	7.121964e-05
9.200000e-01	3.456525e-03	8.228812e-05
9.600000e-01	4.681345e-03	1.004527e-04
9.900000e-01	5.603190e-03	2.397435e-04
1.010000e+00	6.494265e-03	2.648657e-04
1.030000e+00	7.258575e-03	2.862125e-04
1.050000e+00	8.328350e-03	3.093819e-04
1.070000e+00	9.285700e-03	3.222154e-04
1.090000e+00	1.036280e-02	3.381091e-04
1.110000e+00	1.150355e-02	3.608707e-04
1.130000e+00	1.287975e-02	3.812631e-04
1.150000e+00	1.419970e-02	4.090367e-04
1.170000e+00	1.542680e-02	4.631487e-04
1.190000e+00	1.721535e-02	5.209016e-04
1.210000e+00	1.898490e-02	5.606457e-04
1.230000e+00	2.054560e-02	5.864424e-04
1.250000e+00	2.245390e-02	6.180063e-04
1.270000e+00	2.409860e-02	6.401495e-04
1.290000e+00	2.638215e-02	6.669270e-04
1.310000e+00	2.860885e-02	7.467728e-04
1.330000e+00	3.108650e-02	7.996307e-04
1.350000e+00	3.425825e-02	8.524508e-04
1.370000e+00	3.589175e-02	9.534144e-04
1.390000e+00	3.877890e-02	1.065490e-03
1.410000e+00	4.238895e-02	1.102096e-03
1.430000e+00	4.448450e-02	1.121279e-03
1.450000e+00	4.742400e-02	1.203224e-03
1.470000e+00	5.152900e-02	1.324225e-03
1.490000e+00	5.645600e-02	1.391916e-03
1.510000e+00	5.696000e-02	1.385913e-03
1.530000e+00	6.390350e-02	1.522523e-03
1.550000e+00	6.571000e-02	1.741919e-03
1.570000e+00	7.149050e-02	1.883519e-03
1.590000e+00	7.569650e-02	1.950870e-03
1.610000e+00	8.123100e-02	1.964939e-03
