0.015000	-nan	-nan
0.090000	0.000000	0.000000
0.240000	0.000000	0.000000
0.390000	0.000000	0.000000
0.540000	-0.000027	0.000004
0.690000	-0.000353	0.000018
0.840000	-0.001900	0.000055
0.990000	-0.005827	0.000112
1.140000	-0.013647	0.000203
1.290000	-0.027013	0.000320
1.440000	-0.047433	0.000494
1.590000	-0.078853	0.000826
1.740000	-0.127140	0.001414
1.890000	-0.217173	0.002876
2.040000	-0.419520	0.008767
2.190000	-1.265593	0.077260
2.340000	-3.158653	0.105083
2.490000	-0.588333	0.074178
2.640000	-0.190793	0.022926
2.790000	-0.113753	0.014936
2.940000	-0.048880	0.009897
3.090000	-0.039673	0.007475
3.240000	-0.036200	0.005224
3.390000	-0.019160	0.004844
3.540000	-0.014200	0.004086
3.690000	-0.018060	0.003636
3.840000	-0.006513	0.003638
3.990000	-0.010993	0.003260
4.140000	-0.008420	0.003099
4.290000	-0.006620	0.003401
