0.010000	-nan	-nan
0.015000	0.000000	0.000000
0.025000	0.000000	0.000000
0.035000	0.000000	0.000000
0.045000	0.000000	0.000000
0.055000	0.000000	0.000000
0.065000	0.000000	0.000000
0.075000	0.000000	0.000000
0.085000	0.000000	0.000000
0.095000	0.000000	0.000000
0.105000	0.000000	0.000000
0.115000	0.000000	0.000000
0.125000	0.000000	0.000000
0.135000	0.000000	0.000000
0.145000	0.000000	0.000000
0.155000	0.000000	0.000000
0.165000	0.000000	0.000000
0.175000	0.000000	0.000000
0.185000	0.000000	0.000000
0.195000	0.000000	0.000000
0.205000	0.000000	0.000000
0.215000	0.000000	0.000000
0.225000	0.000000	0.000000
0.235000	0.000000	0.000000
0.245000	0.000000	0.000000
0.255000	0.000000	0.000000
0.265000	0.000000	0.000000
0.275000	0.000000	0.000000
0.285000	0.000000	0.000000
0.295000	0.000000	0.000000
0.305000	0.000000	0.000000
0.315000	0.000000	0.000000
0.325000	0.000000	0.000000
0.335000	0.000000	0.000000
0.345000	0.000000	0.000000
0.355000	0.000000	0.000000
0.365000	0.000000	0.000000
0.375000	0.000000	0.000000
0.385000	0.000000	0.000000
0.395000	0.000000	0.000000
0.405000	0.000000	0.000000
0.415000	0.000000	0.000000
0.425000	0.000000	0.000001
0.435000	0.000000	0.000002
0.445000	0.000000	0.000002
0.455000	0.000000	0.000003
0.465000	0.000000	0.000004
0.475000	0.000000	0.000006
0.485000	0.000000	0.000006
0.495000	0.000000	0.000007
0.505000	0.000000	0.000007
0.515000	0.000000	0.000009
0.525000	-0.000100	0.000011
0.535000	0.000000	0.000012
0.545000	0.000000	0.000015
0.555000	0.000000	0.000018
0.565000	-0.000100	0.000019
0.575000	0.000000	0.000021
0.585000	-0.000100	0.000025
0.595000	0.000000	0.000027
0.605000	-0.000100	0.000029
0.615000	-0.000100	0.000033
0.625000	-0.000100	0.000037
0.635000	-0.000200	0.000040
0.645000	-0.000200	0.000047
0.655000	-0.000100	0.000054
0.665000	-0.000300	0.000060
0.675000	-0.000200	0.000065
0.685000	-0.000300	0.000071
0.695000	-0.000300	0.000076
0.705000	-0.000400	0.000081
0.715000	-0.000500	0.000087
0.725000	-0.000500	0.000095
0.735000	-0.000600	0.000098
0.745000	-0.000600	0.000101
0.755000	-0.000700	0.000108
0.765000	-0.000800	0.000115
0.775000	-0.000900	0.000125
0.785000	-0.001000	0.000138
0.795000	-0.001200	0.000154
0.805000	-0.001300	0.000170
0.815000	-0.001400	0.000180
0.825000	-0.001500	0.000193
0.835000	-0.001600	0.000210
0.845000	-0.001700	0.000232
0.855000	-0.002100	0.000250
0.865000	-0.002200	0.000252
0.875000	-0.002500	0.000253
0.885000	-0.002600	0.000271
0.895000	-0.002700	0.000298
0.905000	-0.003200	0.000320
0.915000	-0.003200	0.000342
0.925000	-0.003600	0.000366
0.935000	-0.003800	0.000362
0.945000	-0.004300	0.000359
0.955000	-0.004400	0.000381
0.965000	-0.004700	0.000407
0.975000	-0.005300	0.000437
0.985000	-0.005300	0.000458
0.995000	-0.005900	0.000488
1.005000	-0.006100	0.000510
1.015000	-0.006800	0.000526
1.025000	-0.007200	0.000537
1.035000	-0.007500	0.000575
1.045000	-0.008100	0.000624
1.055000	-0.008500	0.000639
1.065000	-0.008900	0.000648
1.075000	-0.009600	0.000653
1.085000	-0.009900	0.000673
1.095000	-0.010800	0.000698
1.105000	-0.011600	0.000711
1.115000	-0.011600	0.000730
1.125000	-0.012400	0.000774
1.135000	-0.013200	0.000809
1.145000	-0.014200	0.000825
1.155000	-0.014200	0.000855
1.165000	-0.015700	0.000900
1.175000	-0.015600	0.000968
1.185000	-0.016900	0.001014
1.195000	-0.017500	0.001053
1.205000	-0.018200	0.001092
1.215000	-0.019600	0.001138
1.225000	-0.019900	0.001172
1.235000	-0.021100	0.001183
1.245000	-0.022900	0.001172
1.255000	-0.022300	0.001214
1.265000	-0.023800	0.001272
1.275000	-0.024400	0.001333
1.285000	-0.026400	0.001447
1.295000	-0.026500	0.001419
1.305000	-0.029100	0.001359
1.315000	-0.029000	0.001484
1.325000	-0.031500	0.001548
1.335000	-0.031500	0.001592
1.345000	-0.032800	0.001766
1.355000	-0.035600	0.001980
1.365000	-0.035900	0.001952
1.375000	-0.036900	0.001991
1.385000	-0.038400	0.002105
1.395000	-0.039700	0.002156
1.405000	-0.041400	0.002268
1.415000	-0.042000	0.002183
1.425000	-0.045900	0.002086
1.435000	-0.046000	0.002222
1.445000	-0.047500	0.002411
1.455000	-0.050900	0.002486
1.465000	-0.049000	0.002515
1.475000	-0.054400	0.002601
1.485000	-0.056900	0.002722
1.495000	-0.056400	0.002919
1.505000	-0.057000	0.003093
1.515000	-0.062400	0.003070
1.525000	-0.061700	0.003130
1.535000	-0.065700	0.003322
1.545000	-0.067700	0.003607
1.555000	-0.066800	0.003625
1.565000	-0.075300	0.003752
1.575000	-0.074500	0.004009
1.585000	-0.074900	0.004045
1.595000	-0.083500	0.004373
1.605000	-0.082600	0.004489
1.615000	-0.085400	0.004478
1.625000	-0.082700	0.004572
1.635000	-0.090900	0.004653
1.645000	-0.092700	0.004924
1.655000	-0.096700	0.005061
1.665000	-0.105900	0.004703
1.675000	-0.100000	0.004630
1.685000	-0.103100	0.005057
1.695000	-0.112200	0.005698
1.705000	-0.112900	0.006104
1.715000	-0.122900	0.006519
1.725000	-0.120200	0.006497
1.735000	-0.118600	0.006034
1.745000	-0.134200	0.005870
1.755000	-0.131700	0.005736
1.765000	-0.142500	0.006182
1.775000	-0.133800	0.007359
1.785000	-0.153400	0.007893
1.795000	-0.159300	0.007953
1.805000	-0.142300	0.008674
1.815000	-0.178800	0.009136
1.825000	-0.168800	0.009466
1.835000	-0.175800	0.009672
1.845000	-0.171400	0.010351
1.855000	-0.196100	0.010916
1.865000	-0.180000	0.010824
1.875000	-0.214500	0.011073
1.885000	-0.193000	0.011861
1.895000	-0.234700	0.012950
1.905000	-0.217800	0.014227
1.915000	-0.240100	0.015568
1.925000	-0.232500	0.016384
1.935000	-0.279200	0.018323
1.945000	-0.240600	0.019633
1.955000	-0.278500	0.018401
1.965000	-0.288700	0.017797
1.975000	-0.275100	0.019394
1.985000	-0.315300	0.022026
1.995000	-0.325400	0.026052
2.005000	-0.326800	0.026282
2.015000	-0.375200	0.026286
2.025000	-0.383600	0.030762
2.035000	-0.384900	0.036033
2.045000	-0.396000	0.034914
2.055000	-0.468700	0.032027
2.065000	-0.406000	0.035404
2.075000	-0.403000	0.038750
2.085000	-0.563000	0.046736
2.095000	-0.604800	0.057968
2.105000	-0.532500	0.064302
2.115000	-0.670800	0.090400
2.125000	-0.631300	0.098578
2.135000	-0.706700	0.110921
2.145000	-0.695200	0.117283
2.155000	-0.854800	0.109741
2.165000	-0.932100	0.133561
2.175000	-1.326900	0.243030
2.185000	-0.434800	0.250261
2.195000	-1.800600	0.242980
2.205000	-1.180700	0.282531
2.215000	-1.984300	0.349715
2.225000	-2.048000	0.473967
2.235000	-1.158100	0.558391
2.245000	-3.843000	0.671251
