2.000000e-02	-nan	-nan
3.000000e-02	0.000000e+00	0.000000e+00
5.000000e-02	0.000000e+00	0.000000e+00
7.000000e-02	0.000000e+00	0.000000e+00
9.000000e-02	0.000000e+00	0.000000e+00
1.100000e-01	0.000000e+00	0.000000e+00
1.300000e-01	0.000000e+00	0.000000e+00
1.500000e-01	0.000000e+00	0.000000e+00
1.700000e-01	0.000000e+00	0.000000e+00
1.900000e-01	0.000000e+00	0.000000e+00
2.100000e-01	0.000000e+00	0.000000e+00
2.300000e-01	0.000000e+00	0.000000e+00
2.500000e-01	0.000000e+00	0.000000e+00
2.700000e-01	0.000000e+00	0.000000e+00
2.900000e-01	0.000000e+00	0.000000e+00
3.100000e-01	0.000000e+00	0.000000e+00
3.300000e-01	0.000000e+00	0.000000e+00
3.500000e-01	0.000000e+00	0.000000e+00
3.700000e-01	0.000000e+00	0.000000e+00
3.900000e-01	0.000000e+00	0.000000e+00
4.100000e-01	0.000000e+00	0.000000e+00
4.300000e-01	0.000000e+00	6.918760e-07
4.500000e-01	0.000000e+00	1.369044e-06
4.700000e-01	-1.000000e-05	2.438869e-06
4.900000e-01	0.000000e+00	3.266965e-06
5.100000e-01	-1.000000e-05	4.362480e-06
5.300000e-01	-2.000000e-05	5.709923e-06
5.500000e-01	-2.500000e-05	7.994335e-06
5.700000e-01	-3.000000e-05	1.034610e-05
5.900000e-01	-6.500000e-05	1.266710e-05
6.100000e-01	-1.000000e-04	1.557073e-05
6.300000e-01	-1.300000e-04	1.917140e-05
6.500000e-01	-1.850000e-04	2.468173e-05
6.700000e-01	-2.150000e-04	3.070797e-05
6.900000e-01	-3.100000e-04	3.648739e-05
7.100000e-01	-4.550000e-04	4.294303e-05
7.300000e-01	-5.500000e-04	4.773580e-05
7.500000e-01	-6.600000e-04	5.254554e-05
7.700000e-01	-8.550000e-04	6.134014e-05
7.900000e-01	-1.105000e-03	7.491208e-05
8.100000e-01	-1.310000e-03	8.845172e-05
8.300000e-01	-1.595000e-03	1.031520e-04
8.500000e-01	-1.900000e-03	1.199082e-04
8.700000e-01	-2.310000e-03	1.286302e-04
8.900000e-01	-2.665000e-03	1.443652e-04
9.100000e-01	-3.225000e-03	1.698322e-04
9.300000e-01	-3.685000e-03	1.790270e-04
9.500000e-01	-4.345000e-03	1.867020e-04
9.700000e-01	-5.030000e-03	2.097506e-04
9.900000e-01	-5.565000e-03	2.351339e-04
1.000000e+00	-nan	inf
1.005000e+00	-6.200000e-03	4.953375e-04
1.015000e+00	-6.790000e-03	5.066471e-04
1.025000e+00	-7.090000e-03	5.176280e-04
1.035000e+00	-7.560000e-03	5.316680e-04
1.045000e+00	-8.040000e-03	5.584278e-04
1.055000e+00	-8.440000e-03	5.877219e-04
1.065000e+00	-9.110000e-03	6.184058e-04
1.075000e+00	-9.620000e-03	6.634430e-04
1.085000e+00	-9.970000e-03	6.984882e-04
1.095000e+00	-1.061000e-02	7.127929e-04
1.105000e+00	-1.146000e-02	7.271266e-04
1.115000e+00	-1.191000e-02	7.459502e-04
1.125000e+00	-1.250000e-02	7.878649e-04
1.135000e+00	-1.324000e-02	8.408784e-04
1.145000e+00	-1.398000e-02	8.788972e-04
1.155000e+00	-1.470000e-02	9.156644e-04
1.165000e+00	-1.522000e-02	9.475519e-04
1.175000e+00	-1.591000e-02	9.828715e-04
1.185000e+00	-1.668000e-02	1.017838e-03
1.195000e+00	-1.756000e-02	1.046613e-03
1.205000e+00	-1.842000e-02	1.086175e-03
1.215000e+00	-1.928000e-02	1.125990e-03
1.225000e+00	-2.016000e-02	1.152865e-03
1.235000e+00	-2.118000e-02	1.162935e-03
1.245000e+00	-2.224000e-02	1.184173e-03
1.255000e+00	-2.298000e-02	1.207196e-03
1.265000e+00	-2.394000e-02	1.230852e-03
1.275000e+00	-2.464000e-02	1.257740e-03
1.285000e+00	-2.598000e-02	1.318715e-03
1.295000e+00	-2.704000e-02	1.388488e-03
1.305000e+00	-2.782000e-02	1.442702e-03
1.315000e+00	-2.970000e-02	1.532208e-03
1.325000e+00	-3.067000e-02	1.582111e-03
1.335000e+00	-3.196000e-02	1.575284e-03
1.345000e+00	-3.346000e-02	1.597438e-03
1.355000e+00	-3.447000e-02	1.645319e-03
1.365000e+00	-3.561000e-02	1.690256e-03
1.375000e+00	-3.697000e-02	1.750052e-03
1.385000e+00	-3.811000e-02	1.805521e-03
1.395000e+00	-3.926000e-02	1.885781e-03
1.405000e+00	-4.138000e-02	1.963279e-03
1.415000e+00	-4.350000e-02	2.020377e-03
1.425000e+00	-4.512000e-02	2.054403e-03
1.435000e+00	-4.605000e-02	2.098804e-03
1.445000e+00	-4.734000e-02	2.165318e-03
1.455000e+00	-5.001000e-02	2.246987e-03
1.465000e+00	-5.145000e-02	2.422292e-03
1.475000e+00	-5.392000e-02	2.606222e-03
1.485000e+00	-5.514000e-02	2.796781e-03
1.495000e+00	-5.661000e-02	2.984246e-03
1.505000e+00	-5.874000e-02	3.113708e-03
1.515000e+00	-6.104000e-02	3.270066e-03
1.525000e+00	-6.382000e-02	3.451828e-03
1.535000e+00	-6.524000e-02	3.558283e-03
1.545000e+00	-6.638000e-02	3.580757e-03
1.555000e+00	-7.057000e-02	3.692159e-03
1.565000e+00	-7.151000e-02	3.827518e-03
1.575000e+00	-7.416000e-02	3.902889e-03
1.585000e+00	-7.673000e-02	3.996383e-03
1.595000e+00	-7.992000e-02	4.107244e-03
1.605000e+00	-8.284000e-02	4.370524e-03
1.615000e+00	-8.416000e-02	4.650831e-03
1.625000e+00	-8.710000e-02	4.801567e-03
1.635000e+00	-8.972000e-02	4.945250e-03
1.645000e+00	-9.379000e-02	5.148090e-03
1.655000e+00	-9.734000e-02	5.361520e-03
1.665000e+00	-9.983000e-02	5.518828e-03
1.675000e+00	-1.044100e-01	5.631012e-03
1.685000e+00	-1.067900e-01	5.805586e-03
1.695000e+00	-1.099600e-01	6.020357e-03
1.705000e+00	-1.142400e-01	6.196584e-03
1.715000e+00	-1.181500e-01	6.334311e-03
1.725000e+00	-1.191500e-01	6.561322e-03
1.735000e+00	-1.261700e-01	6.743218e-03
1.745000e+00	-1.288600e-01	6.936135e-03
1.755000e+00	-1.347100e-01	7.112394e-03
1.765000e+00	-1.373700e-01	7.203648e-03
1.775000e+00	-1.420700e-01	7.469736e-03
1.785000e+00	-1.500800e-01	7.891193e-03
1.795000e+00	-1.518600e-01	8.337334e-03
1.805000e+00	-1.584300e-01	8.964453e-03
1.815000e+00	-1.653700e-01	9.668655e-03
1.825000e+00	-1.674900e-01	1.015837e-02
1.835000e+00	-1.752500e-01	1.024057e-02
1.845000e+00	-1.804600e-01	1.024902e-02
1.855000e+00	-1.903100e-01	1.044687e-02
1.865000e+00	-1.931300e-01	1.086139e-02
1.875000e+00	-2.016700e-01	1.116207e-02
1.885000e+00	-2.134500e-01	1.130958e-02
1.895000e+00	-2.180700e-01	1.223627e-02
1.905000e+00	-2.285100e-01	1.330233e-02
1.915000e+00	-2.344300e-01	1.417138e-02
1.925000e+00	-2.423000e-01	1.482130e-02
1.935000e+00	-2.551600e-01	1.565785e-02
1.945000e+00	-2.638500e-01	1.662708e-02
1.955000e+00	-2.759600e-01	1.752953e-02
1.965000e+00	-2.822100e-01	1.890678e-02
1.975000e+00	-3.037100e-01	2.145921e-02
1.985000e+00	-3.147600e-01	2.263104e-02
1.995000e+00	-3.242200e-01	2.149974e-02
2.005000e+00	-2.793100e-01	2.571447e-02
2.015000e+00	-3.420800e-01	2.878983e-02
2.025000e+00	-3.833200e-01	2.973841e-02
2.035000e+00	-3.934400e-01	3.396477e-02
2.045000e+00	-4.136100e-01	3.727274e-02
2.055000e+00	-4.425300e-01	4.084815e-02
2.065000e+00	-4.491800e-01	4.253866e-02
2.075000e+00	-4.575100e-01	4.411794e-02
2.085000e+00	-5.015900e-01	4.966262e-02
2.095000e+00	-5.753800e-01	5.979658e-02
2.105000e+00	-5.859200e-01	6.645389e-02
2.115000e+00	-5.541100e-01	6.767080e-02
2.125000e+00	-6.619500e-01	7.622993e-02
2.135000e+00	-6.682000e-01	8.808960e-02
2.145000e+00	-7.206100e-01	9.177179e-02
2.155000e+00	-7.632700e-01	9.344596e-02
2.165000e+00	-9.984500e-01	1.068311e-01
2.175000e+00	-1.369250e+00	1.684447e-01
2.185000e+00	-7.943200e-01	2.060602e-01
2.195000e+00	-1.001500e+00	1.995774e-01
2.205000e+00	-1.384130e+00	1.951488e-01
2.215000e+00	-2.259850e+00	3.654070e-01
2.225000e+00	-2.389660e+00	5.764506e-01
2.235000e+00	-8.164100e-01	6.224924e-01
2.245000e+00	-2.030110e+00	5.625427e-01
2.255000e+00	-1.013709e+01	1.683179e+00
2.265000e+00	-4.054660e+00	2.267166e+00
2.275000e+00	-1.119200e+01	2.621957e+00
2.285000e+00	-9.759130e+00	2.875953e+00
2.295000e+00	-1.387807e+01	2.498683e+00
2.305000e+00	7.966600e-01	2.162156e+00
2.315000e+00	-1.540450e+00	2.008372e+00
2.325000e+00	-5.594570e+00	1.743503e+00
2.335000e+00	-8.461400e-01	1.397231e+00
2.345000e+00	-6.934000e-01	1.141030e+00
2.355000e+00	-1.578490e+00	1.054338e+00
2.365000e+00	-7.529000e-01	8.881068e-01
2.375000e+00	-1.202011e+00	8.047994e-01
2.385000e+00	1.750500e-02	7.770604e-01
2.395000e+00	-1.925605e+00	6.047055e-01
2.405000e+00	8.642910e-01	5.289507e-01
2.415000e+00	-6.373070e-01	5.658055e-01
2.425000e+00	-3.250910e-01	5.078467e-01
2.435000e+00	-6.437050e-01	4.763924e-01
2.445000e+00	1.557260e-01	4.639702e-01
2.455000e+00	-8.928050e-01	4.300738e-01
2.465000e+00	-3.521560e-01	3.578353e-01
2.475000e+00	6.697500e-02	3.260742e-01
